lemmatized_question,sequence
who {VERB} {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many had {VERB1} in people that {VERB2} in {PERSON},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how many {VERB1} in people that {VERB2} in {LOCATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which {VERB} {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
did {ORGANIZATION1} {VERB} {ORGANIZATION2},VERTEX Organization | CONDITION name = {ORGANIZATION1} | EDGE {VERB} | VERTEX Organization | CONDITION name = {ORGANIZATION2}
has {ORGANIZATION1} {VERB} {ORGANIZATION2},VERTEX Organization | CONDITION name = {ORGANIZATION1} | EDGE {VERB} | VERTEX Organization | CONDITION name = {ORGANIZATION2}
had {ORGANIZATION1} {VERB} {ORGANIZATION2},VERTEX Organization | CONDITION name = {ORGANIZATION1} | EDGE {VERB} | VERTEX Organization | CONDITION name = {ORGANIZATION2}
have {ORGANIZATION1} {VERB} {ORGANIZATION2},VERTEX Organization | CONDITION name = {ORGANIZATION1} | EDGE {VERB} | VERTEX Organization | CONDITION name = {ORGANIZATION2}
did {ORGANIZATION1} ever {VERB} {ORGANIZATION2},VERTEX Organization | CONDITION name = {ORGANIZATION1} | EDGE {VERB} | VERTEX Organization | CONDITION name = {ORGANIZATION2}
has {ORGANIZATION1} ever {VERB} {ORGANIZATION2},VERTEX Organization | CONDITION name = {ORGANIZATION1} | EDGE {VERB} | VERTEX Organization | CONDITION name = {ORGANIZATION2}
had {ORGANIZATION1} ever {VERB} {ORGANIZATION2},VERTEX Organization | CONDITION name = {ORGANIZATION1} | EDGE {VERB} | VERTEX Organization | CONDITION name = {ORGANIZATION2}
have {ORGANIZATION1} ever {VERB} {ORGANIZATION2},VERTEX Organization | CONDITION name = {ORGANIZATION1} | EDGE {VERB} | VERTEX Organization | CONDITION name = {ORGANIZATION2}
did {PERSON1} {VERB} {PERSON2},VERTEX Person | CONDITION name = {PERSON1} | EDGE {VERB} | VERTEX Person | CONDITION name = {PERSON2}
has {PERSON1} {VERB} {PERSON2},VERTEX Person | CONDITION name = {PERSON1} | EDGE {VERB} | VERTEX Person | CONDITION name = {PERSON2}
had {PERSON1} {VERB} {PERSON2},VERTEX Person | CONDITION name = {PERSON1} | EDGE {VERB} | VERTEX Person | CONDITION name = {PERSON2}
have {PERSON1} {VERB} {PERSON2},VERTEX Person | CONDITION name = {PERSON1} | EDGE {VERB} | VERTEX Person | CONDITION name = {PERSON2}
did {PERSON1} ever {VERB} {PERSON2},VERTEX Person | CONDITION name = {PERSON1} | EDGE {VERB} | VERTEX Person | CONDITION name = {PERSON2}
has {PERSON1} ever {VERB} {PERSON2},VERTEX Person | CONDITION name = {PERSON1} | EDGE {VERB} | VERTEX Person | CONDITION name = {PERSON2}
had {PERSON1} ever {VERB} {PERSON2},VERTEX Person | CONDITION name = {PERSON1} | EDGE {VERB} | VERTEX Person | CONDITION name = {PERSON2}
have {PERSON1} ever {VERB} {PERSON2},VERTEX Person | CONDITION name = {PERSON1} | EDGE {VERB} | VERTEX Person | CONDITION name = {PERSON2}
what {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
what was {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
what is {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
what are {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
what has {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
what have {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
what had {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
what do {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
what does {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
what did {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
did {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
was {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
is {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
are {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
has {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
have {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
had {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
do {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
does {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
did {PERSON} {VERB},VERTEX Person | CONDITION name = {PERSON} | EDGE {VERB} | CONDITION any | VERTEX any | CONDITION any
what happen with {PERSON} in the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what happen with {PERSON} in the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what happen with {PERSON} in the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what happen with {PERSON} in {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what has happen with {PERSON} in {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what has happen to {PERSON} in {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what was happen with {PERSON} in {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what were happen with {PERSON} in {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what was {PERSON} like in {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what is {PERSON} like now,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
what do {PERSON} look like now,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
what do {PERSON} look like in {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
what is happen with {PERSON},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
what is happen at {PERSON},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = now | VERTEX any | CONDITION any
everything about {PERSON},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION any | VERTEX any | CONDITION any
about {PERSON},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION any | VERTEX any | CONDITION any
about {PERSON} in {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
how was {PERSON} in {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
all information on {PERSON},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION any | VERTEX any | CONDITION any
all information on {PERSON} in {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = {YEAR} | VERTEX any | CONDITION any
everything you know about {PERSON},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION any | VERTEX any | CONDITION any
everything you have on {PERSON},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION any | VERTEX any | CONDITION any
what happen with {PERSON} 5 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what has happen with {PERSON} 5 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what has happen to {PERSON} 5 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what was happen with {PERSON} 5 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what were happen with {PERSON} 5 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what was {PERSON} like 5 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
how did {PERSON} do 5 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what do {PERSON} look like 5 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -5 | VERTEX any | CONDITION any
what happen with {PERSON} 3 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what has happen with {PERSON} 3 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what has happen to {PERSON} 3 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what was happen with {PERSON} 3 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what were happen with {PERSON} 3 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what was {PERSON} like 3 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what do {PERSON} look like 3 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
how did {PERSON} do 3 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -3 | VERTEX any | CONDITION any
what happen with {PERSON} 1 year ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what has happen with {PERSON} 1 year ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what has happen to {PERSON} 1 year ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what was happen with {PERSON} 1 year ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what were happen with {PERSON} 1 year ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what was {PERSON} like 1 year ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what do {PERSON} look like 1 year ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -1 | VERTEX any | CONDITION any
what happen with {PERSON} 10 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what has happen with {PERSON} 10 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what has happen to {PERSON} 10 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what was happen with {PERSON} 10 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what were happen with {PERSON} 10 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what was {PERSON} like 10 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what do {PERSON} look like 10 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
how did {PERSON} do 10 years ago,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year = -10 | VERTEX any | CONDITION any
what happen with {PERSON} 5 years ago and before,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= -5 | VERTEX any | CONDITION any
what has happen with {PERSON} 5 years ago and before,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= -5 | VERTEX any | CONDITION any
what has happen to {PERSON} 3 years ago and before,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
what was happen with {PERSON} 3 years ago and before,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
what were happen with {PERSON} 1 year ago and before,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= -1 | VERTEX any | CONDITION any
what was {PERSON} like 10 years ago and before,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= -10 | VERTEX any | CONDITION any
what do {PERSON} look like 10 years ago and before,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= -10 | VERTEX any | CONDITION any
how did {PERSON} do 3 years ago and before,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
how was {PERSON} 3 years ago and before,VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= -3 | VERTEX any | CONDITION any
what happen with {PERSON} before the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what has happen with {PERSON} before the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what has happen to {PERSON} before the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what was happen with {PERSON} before the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what were happen with {PERSON} before the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what was {PERSON} like before the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what do {PERSON} look like before the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
how did {PERSON} do before the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
how was {PERSON} before the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what happen with {PERSON} before {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what has happen with {PERSON} before {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what has happen to {PERSON} before {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what was happen with {PERSON} before {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what were happen with {PERSON} before {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what was {PERSON} like before {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what do {PERSON} look like before {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
how did {PERSON} do before {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
how was {PERSON} before {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year <= {YEAR2} | VERTEX any | CONDITION any
what happen with {PERSON} before the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen with {PERSON} before the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen to {PERSON} before the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was happen with {PERSON} before the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what were happen with {PERSON} before the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was {PERSON} like before the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what do {PERSON} look like before the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how did {PERSON} do before the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how was {PERSON} before the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what happen with {PERSON} on the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen with {PERSON} on the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen to {PERSON} on the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was happen with {PERSON} on the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what were happen with {PERSON} on the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was {PERSON} like on the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what do {PERSON} look like on the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how did {PERSON} do on the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how was {PERSON} on the date {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what happen with {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen with {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what has happen to {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was happen with {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what were happen with {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what was {PERSON} like on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what do {PERSON} look like on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how did {PERSON} do on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
how was {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened = {DATE} | VERTEX any | CONDITION any
what happen with {PERSON} on or before {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen with {PERSON} on or before {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen to {PERSON} on or before {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was happen with {PERSON} on or before {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what were happen with {PERSON} on or before {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was {PERSON} like on or before {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what do {PERSON} look like on or before {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how did {PERSON} do on or before {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how was {PERSON} on or before {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what happen with {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen with {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what has happen to {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what was happen with {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what were happen with {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <=  {DATE} | VERTEX any | CONDITION any
what was {PERSON} like on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what do {PERSON} look like on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how did {PERSON} do on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
how was {PERSON} on {DATE},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION happened <= {DATE} | VERTEX any | CONDITION any
what happen with {PERSON} between years {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what has happen with {PERSON} between years {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what has happen to {PERSON} between years {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what was happen with {PERSON} between years {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what were happen with {PERSON} between years {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what was {PERSON} like between years {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what do {PERSON} look like between years {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
how did {PERSON} do between years {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
how was {PERSON} on between years {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what happen with {PERSON} between {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what has happen with {PERSON} between {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what has happen to {PERSON} between {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what was happen with {PERSON} between {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what were happen with {PERSON} between {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what was {PERSON} like between {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what do {PERSON} look like between {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
how did {PERSON} do between {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
how was {PERSON} on between {YEAR1} and {YEAR2},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR1} AND year <= {YEAR2} | VERTEX any | CONDITION any
what happen with {PERSON} after the year {YEAR},VERTEX Person | CONDITION name = {PERSON} | EDGE any | CONDITION year >= {YEAR} | VERTEX any | CONDITION any
